"centWave_parameter","IPO_optim_value","Starting_value(s)"
"fitgauss","FALSE","FALSE"
"integrate","1","1"
"max_peakwidth","42.25","c(25, 30)"
"min_peakwidth","9.6656","c(6, 10)"
"mzCenterFun","wMean","wMean"
"mzdiff","0.02815","c(-0.001, 0.01)"
"noise","500","500"
"ppm","20","20"
"prefilter","3","3"
"snthresh","10","10"
"value_of_prefilter","100","100"
"verbose.columns","FALSE","FALSE"
"Files_used_for_optimization","block1neg/GSK_neg_block1_09r.cdf, block1neg/GSK_neg_block1_10r.cdf, block2neg/GSK_neg_block2_09r.cdf, block2neg/GSK_neg_block2_10r.cdf, block3neg/GSK_neg_block3_09.cdf, block3neg/GSK_neg_block3_10.cdf, block4neg/GSK_neg_block4_09.cdf, block4neg/GSK_neg_block4_10.cdf",""
