"X","name","fold","tstat","pvalue","mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","batch_1","batch_2","B_7","B_8","B_29","B_14","B_6","B_10","B_20","B_11","B_18","B_3","B_15","B_4","B_1","B_5","B_17","B_16","B_12","B_2","B_19","B_9","B_32","B_25","B_27","B_13","B_35","B_21","B_33","B_23","B_36","B_37","B_26","B_34","B_30","B_31","B_28","B_22","B_24","A_15","A_8","A_2","A_6","A_3","A_1","A_10","A_16","A_14","A_9","A_20","A_23","A_11","A_7","A_19","A_18","A_22","A_21","A_5","A_4","A_17","A_24","A_12","A_13","QC_1","QC_10","QC_11","QC_12","QC_13","QC_14","QC_15","QC_16","QC_17","QC_18","QC_19","QC_2","QC_20","QC_3","QC_4","QC_5","QC_6","QC_7","QC_8","QC_9","QC9_2","isotopes","adduct","pcgroup"
2,"M60T748",1.56583339381767,-6.41578788678341,2.69539457420365e-09,60.0805260795917,60.0802278576262,60.0805724204773,747.8685,744.268,750.111,132,52,80,4101311.94614822,2346471.37974864,4318157.29934889,2645536.02854686,3244481.95243348,2022980.72068253,3052266.59963348,2057486.09946634,2042349.74885015,4432746.4909505,1915565.07454119,3817048.30485775,3576822.84873397,1700968.32667578,3617154.94141948,2904774.07154837,4815445.28071729,4620656.05805303,2341749.48487926,2107741.84807368,1080263.28714419,2673035.98611083,3445407.41818,3187217.02835128,1782251.47389753,1113912.99257568,2362239.52704289,3538257.02902593,2952700.13797641,1976052.38148727,780097.0574929,1240090.69949766,1274949.28507724,3935415.0122005,1517955.54658594,3939008.74263313,966669.48032506,3542512.82176535,1993629.97321429,2215663.0981875,2454468.82897962,1914849.78154484,5240522.61197788,4429669.58261898,2323557.7137415,3270516.55852419,4506746.4618405,1104535.97188512,1960072.26503407,1822268.6528998,4001235.91998785,1085307.40419922,2042808.10749692,3666410.36574036,1246758.79508743,4370480.28461236,3488187.78446779,965328.802393416,1178785.25630357,2293518.18980007,4383454.3776437,3235788.60037083,1962602.71692188,1753219.92325995,881369.476539949,3242175.72883245,1749628.04315171,3580614.67657364,1009757.65221261,1922850.8625978,1865485.79225229,1903685.42589681,3169448.27515884,1608093.14590934,3561265.28187908,4145520.35151263,2225821.05078499,3596100.31327247,1824830.84642031,1886753.6332207,3727456.14741789,774197.268464566,"","",57
3,"M60T544",1.55878961874859,-6.59841459038863,2.15730677766146e-09,60.080381311913,60.0803256366,60.0806280687968,543.618,528.126,546.606,99,43,44,1948769.46386719,849792.189841151,1425413.04427795,1826307.60338301,918362.412002773,848487.961864588,667460.817044083,2087066.14563797,870352.089057292,863820.299322831,857281.138402912,663082.144083335,660344.720937375,793632.129146145,888616.051195316,1048973.11912687,1133864.27787585,735986.604682005,762185.793602863,1340896.61888585,572756.793276472,548906.373084674,538112.587473392,1030688.51299946,520207.620362201,502334.44347626,467457.396577239,510374.988799544,545269.20368236,549842.179129761,524492.04210984,503707.982165899,565577.377631732,482240.557637062,1163218.11889456,501120.443686843,555104.553247586,1674529.73396517,853517.787113708,881620.720038811,2076359.02274926,1057776.6099478,987240.492087069,891918.526961041,952597.344303017,1063914.39796131,890182.175388903,593503.446338328,531477.585155123,906351.224831449,871717.242960108,536657.201093952,557540.707291603,531232.779098877,824441.902142578,952643.976123666,798239.959762864,645276.363642222,621314.750588917,633279.196099106,621356.389200512,1067907.03423858,825464.755992876,892006.795175349,480681.383690029,479367.913204745,512456.028798599,570964.311659964,793779.219476275,663298.657760564,928978.655421607,512686.112512799,917036.358204848,483187.976527762,1065132.70715663,959627.061398849,957408.795746405,1714720.41895534,1775230.42637572,936809.46886406,901793.020383716,532238.614560199,"","",61
4,"M60T696",3.37083243873079,-13.9584733470428,0,60.0805134107034,60.0802542974245,60.0805935405553,696.2555,682.021,713.02,88,41,45,2172177.18426346,1980848.72406286,633961.997630057,1512369.92002852,2444511.25132926,2185302.83231944,992100.769709202,1763419.96176116,1862579.26902988,2155026.14330506,1366895.36790625,1944540.98202766,2043773.38347478,2218808.80079259,1675029.64209584,1817613.79428651,1807118.6106318,2125978.44531328,1787966.00389391,2070997.64733652,491599.72065655,358193.274680268,415190.379743791,1368318.67563408,609449.22940831,486947.595510624,647964.513893626,522047.782393339,553396.762782071,545600.14963095,801999.541733094,1501618.30907583,649073.573114554,983355.007060086,750860.076383083,517530.610546826,480405.95850233,2833092.08365179,1285580.79463969,1706239.57848122,1616123.84611817,1641628.69322621,2846816.80312259,1629483.03997023,1753950.44533007,2033725.00538275,2443118.97334093,848568.336492477,737852.547830985,1821551.38803467,1417740.72726039,589789.031551107,566908.562797698,469932.692404792,1355016.70868173,1690691.96813367,3164758.04860588,447266.797455507,913469.388666275,1403816.14533208,1668219.09892917,1723896.43187785,1332191.33375821,2842548.90971395,485180.900275878,1308439.35026563,95920.8758847655,585139.719863737,570831.104049265,427856.378206516,1425433.57974574,492731.411652073,4619681.2946635,603125.616087874,1717374.455688,3685532.95502854,3804826.44874044,3506705.8723877,1482634.36805167,3540138.57997427,1436516.414279,890657.0821911,"","",11
5,"M60T890",1.86612388251109,-6.51771075938431,5.83304871071277e-09,60.0805532500242,60.0802273695989,60.0806183048982,889.578,868.213,909.649,125,34,67,5016678.75852782,5788723.74998821,6716708.2637361,5561195.0195363,2891522.49506252,5300379.00832659,2058751.14291065,5543790.33662963,5565951.29604578,498136.452468763,3550323.83861717,6502449.56062555,5643912.52499664,6748258.60415973,5601006.1708108,5381189.42862499,4957946.93768867,13486277.4434624,6136756.54438323,5120291.16722546,3508825.65656155,1747155.5319769,1689948.18075234,5345219.52746514,2103400.25962292,3718109.30990278,3700921.41415078,1011288.00684349,1585383.69718749,1228074.55653407,4192354.24876538,2310233.94281855,4572595.49989016,2048931.86875001,4323870.99192383,3988366.87718776,2247847.07149637,5257078.70449422,2812093.33458882,3236975.46019791,7196584.19730284,3283844.05066667,4022063.55396974,9724249.38405555,3324451.0958073,3610112.85585938,3394683.92678572,3286682.59409575,5408294.34055202,5845233.69453956,5477950.0988597,2291883.32621433,2360872.25988449,1776060.08712724,3049644.05966099,5320241.10050722,6465108.71081784,1436663.93243043,2053650.30096094,2862130.17916545,3172141.02236842,3996860.59812374,6159317.20885705,4876511.1575017,1828973.36202891,2649545.54735938,4713256.28163574,3844560.16468401,1601483.96506055,7222847.67554768,2053440.80568159,3010703.37874645,5351540.2608399,1974737.7391294,2599018.70691966,5338829.00884177,5670073.63266511,3426206.53124131,17301847.8668644,3083680.27246967,5058030.32807666,4788328.57350591,"","",277
6,"M60T571",1.9870843283589,-11.8921771725169,0,60.0803679379287,60.0802753155929,60.0806544830819,570.612,559.874,593.726,105,42,44,1815322.24380622,1865257.86870973,1196559.33137942,953574.594549631,2616416.5572141,1989373.19109473,1047714.80636981,1789203.92286899,2569874.66414126,1776543.37636793,2004499.03862578,2065048.32138607,1242551.54621804,3738134.06148682,2698711.67447661,3001156.87406159,1845260.66108563,1943001.10554261,1302697.40209722,2220470.46169656,1379692.84527557,954011.436864456,765387.345244605,2235572.73734546,1032388.38703329,1031257.71376055,691798.637917258,929559.266387064,1075322.4849714,1098499.39522372,939943.150176323,904720.642385417,1038923.24162021,1033531.6395045,1023544.89656595,1092246.98264099,951015.5659475,2244603.9167035,1779748.24853255,2200884.61907812,2431360.34749864,1693085.96772656,1575698.84192256,2677067.70219907,3832084.16101243,2813156.80680599,1708592.8369991,1697605.83846558,1012415.12545109,1679893.84932891,2664148.24399393,1099330.78575057,1459736.96217888,1209928.04396665,994529.158678516,3022307.05262921,1572788.62526042,954783.646080034,1255317.09778915,1446579.74439548,988334.561499999,1609177.66711134,2018287.44859513,2331171.50664323,845110.51215973,907628.254858653,1090232.43230947,1110460.1440008,959498.742124743,1015317.67958283,1092198.7044773,1068499.62424624,3602144.83173661,932709.799518744,1654088.44738451,2195584.4502211,1458567.06175382,2834782.66414723,2264509.89574618,1334993.64156844,2310588.45856047,748026.636341798,"","[M+H]+ 59.0754",276
7,"M61T113",1.38352463346476,-3.3865724661333,0.000996552488208291,61.0394181159765,61.0391264172198,61.0395091513309,112.988,110.538,123.934,157,57,81,3968564.98387476,2253067.71278702,1212520.38859462,1361494.75881046,848192.841515925,2710897.76715566,676932.115728423,1791847.59670792,1659218.69183705,1443523.00369434,1108787.50378906,1204528.16807008,1813412.38123661,674534.319465732,764443.502228841,747530.449839844,1086995.39175703,2711287.86716089,1392699.31807812,2400638.48957812,1846268.13410156,919692.167543945,1444144.01920359,1569463.49636399,2904789.82487969,985308.37029984,1223229.9021536,604870.377203125,1469971.60574777,546046.284615936,563312.897328735,1736011.73890892,3846051.99960205,1123776.54573516,841175.060156156,393537.460473975,376166.275478353,509453.559624024,1345647.75374266,616232.524826528,346055.565622656,752307.363840554,476717.342836026,634116.586119674,749372.134815674,694087.872998347,690220.373404298,925488.500167969,761059.698230286,693623.965368042,1025112.79162134,1583220.62917367,1229260.11635491,631410.14596596,1032186.71697539,994567.100840495,1075572.43460699,457946.605626066,739015.822612793,1443658.16381929,1517840.19130435,1256313.95237223,1578036.00114275,1492138.1877334,714410.639663497,635233.698202149,1268624.57333589,1075103.14456035,1048574.10101849,1233075.90960132,1085720.31281966,1168123.68034126,1353015.84626847,1063273.35199888,1406317.37777344,1475259.17810156,1310706.99142693,1315828.03135976,1393987.8379237,1588574.65153023,1500167.70200056,750625.326936837,"","",3
8,"M72T118",1.58860652857436,-10.7349480782264,0,72.0806073959504,72.0802506559597,72.0806771489884,118.139,115.484,132.704,139,57,81,472957.085456194,521897.263196756,220784.053507812,507661.043538446,590415.458762027,698156.808997607,395848.096820095,617923.793855794,513493.622622698,701189.605037726,681308.96094308,855419.558908529,633450.751836356,463414.370642923,621344.808495048,455517.592194696,612427.586862687,780278.664561756,568640.816243995,634275.421121094,361345.438141479,472978.571530945,339527.045181885,508794.433536698,454200.400102756,521177.628156836,571808.418342084,373245.288229167,224191.836755859,384756.619411063,352092.348320557,528702.900382772,475618.900682068,735453.110022588,595612.417969239,338915.653654297,300569.624519043,876127.954199609,703809.432012499,959751.683022868,679582.392449258,996026.335861003,595925.003731615,869074.014518148,765112.708754523,706730.050519709,721193.3571988,429851.356940315,578211.929965332,611432.602326562,633239.344739356,395423.190768268,406572.568935113,330524.448285828,507033.937168945,536186.355791526,708016.170140625,345124.272364014,406169.252193848,684215.315155571,529459.355904811,589684.253093411,638702.245468213,646443.107481166,359667.930334351,335145.329153992,406974.419107991,391004.042138563,381111.902383732,361579.854361816,353542.797611572,380228.436459896,523741.159632813,381089.964907031,537542.297848556,562585.073274362,576049.008424272,571332.380292411,598694.49139038,672315.133179599,627074.267130817,352214.057858743,"","[M+H-CO2]+ 115.063",3
9,"M72T147",1.18902040738911,-3.84065904283135,0.000204454564746825,72.0806675569904,72.0802847819564,72.0807322219508,146.733,141.684,154.44,126,54,71,341867.438771702,342016.98175518,93445.2505144231,368193.703991004,348938.203355643,474997.430107859,363609.821095477,369123.544135437,424419.975007946,558128.10751964,487901.489162894,547703.534150009,442434.157430741,322196.073729413,341290.900257095,369190.409515411,375700.096585601,522254.465618225,447889.471586426,433961.227909749,365988.844746484,558912.034513393,397913.247036888,396244.925569603,448753.891398402,370739.835065918,492690.016341545,436302.019081312,227615.22737656,283666.13362673,391646.638043403,512894.699591254,366755.470879185,323251.138395743,478135.671175686,264467.822815639,380916.401205274,637072.600037321,480806.445276764,648657.578153226,360877.997338867,317175.42134625,297168.839695679,528099.085833417,605210.022356585,441288.840883474,472436.495222258,376398.0655,385897.486147173,304028.658408203,458807.010789661,317426.714791457,358081.376889544,305518.194660343,368555.49487661,203355.257625,367551.993755787,316537.592113525,319785.740399592,445911.150202962,351828.283991895,273703.380252963,495429.98472666,414277.916030599,382134.286956665,268873.981289215,371349.56984739,242463.672812347,244207.373572942,302098.036841264,357158.576006226,334591.201907501,399332.833270183,399462.633875091,413894.709620117,394533.592124268,401420.604846229,407861.38351112,371759.677692839,445579.926030425,428355.953528879,321472.217225566,"","",4
10,"M81T106",1.32699518939502,-7.16291595411112,3.44414274877636e-10,80.9476026444159,80.9472075064335,80.9476898783963,105.596,103.557,109.387,141,57,81,1410677.79694775,2179458.5858509,1007860.94615072,1498639.54875293,1093322.74728031,1360650.19871537,952217.886954117,1300139.56054762,1528039.48311351,1223299.93451475,1533383.47483406,1517890.01538,1066870.96383864,1148735.92264922,1017769.64522426,1301909.95980179,1715569.73287603,1530747.88541437,1285328.82093528,1662684.92058707,903032.767562324,1185589.50797106,1184483.12156733,1522955.99846392,914448.796352481,1179976.02783338,953066.460753506,1143698.48411892,1082036.88651333,803774.5213029,1141488.97913207,1013078.99426504,695750.660007188,968679.943916107,865547.762931555,1012361.16874559,1197814.56060423,1495380.34697519,1348081.93689813,1647197.99399324,1768005.27792688,1440455.28945878,1449544.53291708,1645558.83085379,1992733.22651582,3075780.48880114,1523783.12606838,1303618.38662535,1035446.69556104,2225620.30040772,1891573.540047,917207.545157813,1001820.47648512,1083991.01373833,1023775.61023415,1516527.64313396,1382974.53843418,1028007.57252643,1078522.80896344,1388348.26863891,1920636.11916382,1191073.3308241,1403756.49553875,1723419.34712568,1088520.35217573,1093775.00132732,1060534.03145916,905020.806311346,930760.621230521,1048736.45746807,942512.928446718,1011164.24366547,1500054.2744592,1124703.19528454,1610467.25517848,1306268.74285846,1368334.36627083,1323322.38568105,1397823.12764609,1398713.12608521,1400117.7134128,1255205.29733272,"","[M+H-HCOOH]+ 125.944",70
11,"M81T120",1.36526649809132,-11.5446382387562,0,80.947667346452,80.9472591509916,80.9477321459223,120.074,117.379,140.684,145,57,81,1057336.41737769,1392490.534729,915933.834238121,1272262.74553882,952076.763596191,1117244.57696875,865325.085729121,1033459.82234473,1152430.77318628,1246616.30932757,1260660.18546323,1324919.7885376,860494.363931641,1138325.82186306,912570.600132813,1111257.89966085,998478.920946093,1281632.35551356,841431.216542237,1307189.84734863,729271.945863882,887828.535016741,854595.863239727,1116273.41058423,802519.516601563,966713.912286571,757809.929175436,886018.47463086,929643.588868816,635710.85028869,701815.007528263,873552.825847729,823483.667482282,1263571.48075937,917908.207409446,790683.10261422,714598.291254774,1455312.51651884,1124687.66521464,1354033.09587178,1627449.72417785,1260623.06805005,1287658.84671533,1480937.69212036,1375305.31925551,1418232.21247451,1377986.36537825,1033283.45375391,901946.170508789,1484572.6796875,1317775.44935764,753796.594179688,1053228.20305251,970972.670395597,818298.530007308,1141505.62832813,1228957.97048713,817099.272292085,1047616.97937012,1114714.20416337,1193513.10076465,930273.860791992,1145280.52933377,1053582.28466563,797858.558009207,836867.966329789,832240.781397292,809910.60660962,779615.25827326,832926.867546165,830241.430002539,730792.895235198,1089762.50837017,842039.380523989,963339.09625293,935990.731297433,974583.493666667,1075007.05138455,1010450.79894116,1234222.37591685,1028991.49240234,816645.35709082,"","[M+Na]+ 57.9585 [M+2Na]2+ 115.917",49
