"sample"	"batch"	"class"	"order"
"QC_1"	1	NA	1
"QC_2"	1	NA	2
"QC_3"	1	NA	3
"QC_4"	1	NA	4
"QC_5"	1	NA	5
"A_1"	1	"A"	6
"B_1"	1	"B"	7
"B_2"	1	"B"	8
"B_3"	1	"B"	9
"B_4"	1	"B"	10
"QC_6"	1	NA	11
"A_2"	1	"A"	12
"B_5"	1	"B"	13
"A_3"	1	"A"	14
"A_4"	1	"A"	15
"B_6"	1	"B"	16
"QC_7"	1	NA	17
"A_5"	1	"A"	18
"A_6"	1	"A"	19
"B_7"	1	"B"	20
"B_8"	1	"B"	21
"B_9"	1	"B"	22
"QC_8"	1	NA	23
"B_10"	1	"B"	24
"B_11"	1	"B"	25
"A_7"	1	"A"	26
"A_8"	1	"A"	27
"B_12"	1	"B"	28
"QC_9"	1	NA	29
"A_9"	1	"A"	30
"B_13"	1	"B"	31
"A_10"	1	"A"	32
"A_11"	1	"A"	33
"B_14"	1	"B"	34
"QC_10"	1	NA	35
"A_12"	1	"A"	36
"B_15"	1	"B"	37
"B_16"	1	"B"	38
"A_13"	1	"A"	39
"B_17"	1	"B"	40
"QC_11"	1	NA	41
"A_14"	1	"A"	42
"A_15"	1	"A"	43
"A_16"	1	"A"	44
"B_18"	1	"B"	45
"B_19"	1	"B"	46
"QC_12"	2	NA	47
"B_20"	2	"B"	48
"B_21"	2	"B"	49
"B_22"	2	"B"	50
"B_23"	2	"B"	51
"B_24"	2	"B"	52
"QC_13"	2	NA	53
"B_25"	2	"B"	54
"A_17"	2	"A"	55
"B_26"	2	"B"	56
"B_27"	2	"B"	57
"B_28"	2	"B"	58
"QC_14"	2	NA	59
"B_29"	2	"B"	60
"A_18"	2	"A"	61
"A_19"	2	"A"	62
"A_20"	2	"A"	63
"B_30"	2	"B"	64
"QC_15"	2	NA	65
"B_31"	2	"B"	66
"B_32"	2	"B"	67
"B_33"	2	"B"	68
"B_34"	2	"B"	69
"A_21"	2	"A"	70
"QC_16"	2	NA	71
"A_22"	2	"A"	72
"A_23"	2	"A"	73
"B_35"	2	"B"	74
"B_36"	2	"B"	75
"B_37"	2	"B"	76
"QC_17"	2	NA	77
"A_24"	2	"A"	78
"QC_18"	2	NA	79
"QC_19"	2	NA	80
"QC_20"	2	NA	81
