idx,idx_old,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,samples,MPA,polarity,tp1_food_YESvsNO,id,P_1,p<0.05,"p,0.01",sign_1
1,1,57.975863,57.975614,57.976043,61.5556,60.0479,64.8912,101,101,794294.4121,neg,FALSE,NA,NA,NA,NA,NA
2,2,59.014025,59.013812,59.014192,63.5293,62.796,64.2096,101,101,2358853.861,neg,TRUE,2,0.085722,0,0,-1
4,4,61.988531,61.988253,61.988654,60.3656,59.4205,62.0145,71,71,378974.8167,neg,FALSE,NA,NA,NA,NA,NA
6,6,75.008804,75.008545,75.008983,203.07385,193.0563,209.0698,102,102,3734842.353,neg,FALSE,NA,NA,NA,NA,NA
8,8,75.008762,75.008478,75.008972,28.0893,10.7498,33.2588,105,105,3803387.723,neg,FALSE,NA,NA,NA,NA,NA
9,9,76.954231,76.953323,76.957571,55.0664,52.8901,57.431,84,84,51772.71721,neg,FALSE,NA,NA,NA,NA,NA
10,10,77.054575,77.054311,77.054809,107.8767,105.8819,110.2277,101,101,953266.2488,neg,TRUE,10,0.011893,TRUE,0,-1
11,11,78.91896,78.918279,78.920468,58.7978,56.9464,60.113,97,97,103226.2874,neg,TRUE,11,0.664121,0,0,1
12,12,80.921328,80.918492,80.922115,59.173,58.2344,60.1432,96,96,198140.2757,neg,TRUE,12,0.14034,0,0,1
13,13,80.974922,80.974628,80.975161,59.1332,56.3047,60.113,103,103,58768305.98,neg,TRUE,13,0.869453,0,0,1
14,14,81.027831,81.027508,81.028116,58.6706,57.5868,59.7004,78,78,143373.3586,neg,FALSE,NA,NA,NA,NA,NA
15,15,81.978141,81.977842,81.978388,59.2948,57.6867,60.6945,101,101,366769.2115,neg,FALSE,NA,NA,NA,NA,NA
16,16,82.916998,82.915612,82.91736,58.4148,56.8214,59.7181,89,89,70505.44845,neg,FALSE,NA,NA,NA,NA,NA
17,17,82.971926,82.97163,82.97217,59.4697,56.3047,60.4315,103,103,32373762.91,neg,TRUE,17,0.357471,0,0,-1
18,18,83.026949,83.02635,83.028684,58.0733,56.5346,59.6504,63,63,53758.44807,neg,FALSE,NA,NA,NA,NA,NA
19,19,83.975216,83.974695,83.975847,59.2101,57.9127,61.187,101,101,156853.7258,neg,TRUE,19,0.850492,0,0,1
20,20,84.976212,84.975205,84.978455,58.7581,55.7905,60.6268,80,80,44357.55547,neg,FALSE,NA,NA,NA,NA,NA
22,22,87.008814,87.008388,87.008968,15.3983,11.3232,29.3573,94,94,5221623.936,neg,FALSE,NA,NA,NA,NA,NA
23,23,88.963565,88.963205,88.963778,78.48,75.9977,80.7735,97,97,210716.5261,neg,TRUE,23,0.641253,0,0,-1
24,24,88.988112,88.987821,88.988311,197.0056,190.3845,199.8056,105,105,3263806.036,neg,FALSE,NA,NA,NA,NA,NA
25,25,89.024463,89.024108,89.0247,78.1412,75.6082,79.8481,101,101,69095832.74,neg,TRUE,25,0.341243,0,0,-1
26,26,88.988187,88.987651,89.024709,27.4006,11.3232,32.1746,103,103,936480.327,neg,FALSE,NA,NA,NA,NA,NA
28,28,89.085451,89.085043,89.085772,78.6741,76.1641,80.7059,97,97,180202.3046,neg,TRUE,28,0.749453,0,0,1
29,29,90.027793,90.027427,90.028029,78.515,76.1838,80.6477,101,101,1520319.194,neg,TRUE,29,0.461702,0,0,-1
35,35,92.862784,92.861362,92.863321,55.33245,53.6029,56.6552,98,98,70230.2957,neg,TRUE,35,0.306847,0,0,1
36,36,92.927882,92.927535,92.928165,57.1121,56.3047,57.7873,103,103,33329783.77,neg,TRUE,36,0.346736,0,0,-1
38,38,94.924971,94.924622,94.925264,57.0575,56.3047,57.772,103,103,21768243.71,neg,TRUE,38,0.252075,0,0,1
39,39,96.921973,96.921609,96.92225,56.2011,55.5353,56.8131,101,101,2423033.576,neg,FALSE,NA,NA,NA,NA,NA
40,40,102.02718,102.026424,102.02783,107.61245,105.8819,109.5285,96,96,118264.9128,neg,TRUE,40,0.571813,0,0,1
42,42,102.9565,102.956331,102.956873,130.94955,128.9612,132.9468,70,70,3392818.52,neg,FALSE,NA,NA,NA,NA,NA
43,43,102.956728,102.956334,102.956879,243.87395,242.1177,245.8084,54,54,4845733.773,neg,FALSE,NA,NA,NA,NA,NA
44,44,103.003536,103.003167,103.003826,62.5797,61.8532,63.2606,101,101,61957086.71,neg,TRUE,44,0.187811,0,0,-1
45,45,103.039938,103.039615,103.040188,151.1149,137.648,153.2698,101,101,11838412.28,neg,TRUE,45,0.187869,0,0,-1
