idx,idx_old,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,samples,MPA,polarity
2001,1,53.023429,53.021188,53.024918,211.8568,210.1879,213.0748,89,89,88803.83127,pos
2002,2,58.064404,58.063262,58.065016,52.22515,50.8169,53.3368,92,92,104965.4651,pos
2005,5,61.038886,61.005563,61.03927,57.48,4.5766,89.179,131,103,32424473.36,pos
2007,7,61.038928,61.038765,61.03911,171.7229,159.8347,258.8053,91,80,12705332.01,pos
2008,8,62.041665,62.04062,62.042427,58.2519,54.055,113.693,99,92,182480.1082,pos
2009,9,62.980994,62.980758,62.981482,54.5771,53.414,58.5157,100,100,282596.7436,pos
2010,10,64.015043,64.014802,64.015853,49.79645,41.7311,51.2342,100,100,343351.9596,pos
2012,12,67.047088,67.046517,67.049844,50.37035,45.6456,51.6796,100,100,288879.9456,pos
2015,15,70.064333,70.064104,70.064661,52.607,51.9389,53.7989,100,100,836579.8642,pos
2017,17,71.084733,71.084525,71.085195,20.3027,12.5437,24.0271,99,99,279890.5001,pos
2018,18,72.079999,72.079774,72.08037,62.6005,61.4723,65.3491,99,99,12905047.55,pos
2020,20,73.083281,73.083051,73.083661,62.9159,61.4723,65.3491,100,100,313387.9522,pos
2023,23,76.074802,76.073391,76.075358,50.0501,48.2182,50.9458,87,87,248376.9529,pos
2024,24,78.050942,78.050699,78.051342,54.465,52.6055,57.3936,99,99,632099.4007,pos
2025,25,79.020241,79.019303,79.022203,61.4158,59.7336,65.8697,94,94,88038.25733,pos
2026,26,80.946999,80.946743,80.947356,49.83265,48.2182,50.8675,100,100,12119571.62,pos
2027,27,81.519816,81.51878,81.520234,28.0507,4.036,51.5303,55,55,78161.1631,pos
2028,28,82.944017,82.943753,82.944364,49.46795,47.9871,50.605,100,100,4080810.831,pos
2029,29,83.0207,83.020414,83.021139,51.4922,46.9666,53.4597,99,99,5144897.76,pos
2030,30,83.084507,83.083749,83.085253,371.338,364.4315,385.576,77,77,226080.0996,pos
2036,36,86.09554,86.059238,86.095989,127.75275,126.1976,132.1434,102,102,25996200.01,pos
2037,37,86.059161,86.058747,86.095534,241.27545,222.6343,265.6497,70,69,629089.0434,pos
2038,38,86.991732,86.99142,86.992224,137.4622,131.0179,141.6969,104,104,1337784.567,pos
2040,40,86.991793,86.991481,86.992278,33.9082,14.3029,35.9728,102,102,1375026.213,pos
2042,42,87.043075,87.042796,87.043571,125.1731,121.4852,137.0091,98,98,1138152.76,pos
2044,44,87.098779,87.098474,87.099251,127.85285,126.2012,131.5436,100,100,881033.3933,pos
2048,48,89.058656,89.058385,89.060477,175.1304,171.8432,202.3585,85,83,312016.4023,pos
2050,50,90.054031,90.05374,90.054415,54.23605,47.1042,57.0834,100,100,3664922.012,pos
2053,53,90.975771,90.975502,90.976194,43.3729,41.7311,44.5704,99,99,4282900.238,pos
2055,55,93.072732,93.072445,93.073158,53.9947,50.8349,56.5469,99,99,588710.6417,pos
2056,56,94.079123,94.064223,94.079575,54.1037,48.7233,56.5469,100,100,9908424.699,pos
2057,57,95.082267,95.05753,95.082781,53.84005,7.5043,56.5469,84,84,146603.2197,pos
2058,58,96.920803,96.920498,96.921212,49.2275,47.9871,50.2096,99,99,985306.9137,pos
2060,60,97.100026,97.098168,97.101721,431.28005,426.2897,435.4597,54,54,72367.25034,pos
2063,63,98.917773,98.917415,98.918196,49.33835,47.5799,50.605,100,100,222725.5023,pos
2066,66,99.043063,99.042744,99.043911,18.263,11.7073,26.1248,83,83,397100.3426,pos
2068,68,100.074666,100.074334,100.074959,186.7358,185.6012,189.7782,99,99,1861574.055,pos
2072,72,101.05856,101.058296,101.058949,285.2847,282.7822,292.1078,71,71,261809.0216,pos
2073,73,101.058715,101.058371,101.059261,18.09275,13.212,22.5177,70,70,168923.6341,pos
2074,74,101.058795,101.058329,101.071316,184.272,179.4123,198.1787,71,71,465198.9472,pos
2078,78,102.053919,102.053653,102.090515,18.09415,11.0297,49.4454,82,82,893484.5645,pos
2080,80,102.96929,102.96893,102.969831,141.6651,136.6008,146.1917,104,104,9530167.967,pos
2081,81,102.969305,102.968969,102.969864,18.1447,13.0954,32.6312,93,93,5633062.625,pos
