"Sample Name"	"Protocol REF"	"Parameter Value[randomized preparation number]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[aliquot number]"	"Term Source REF"	"Term Accession Number"	"Comment[EI analysis notes]"	"Comment[GC analysis notes]"	"Comment[preparation notes]"	"Extract Name"	"Labeled Extract Name"	"Protocol REF"	"Parameter Value[chromatography column]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[chromatography instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[mass spectrometry instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[randomized analysis order]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[block]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Index]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[index of position]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[order]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[order old]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[ionization mode]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Factor Value[session]"	"Term Source REF"	"Term Accession Number"	"Factor Value[regimen]"	"Term Source REF"	"Term Accession Number"	"Comment[regimen]"	"Factor Value[time point]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[day]"	"Term Source REF"	"Term Accession Number"	"Factor Value[volunteer number]"	"Term Source REF"	"Term Accession Number"
"2"	"LCMS preparation"	"19"	""	""	"3"	""	""	""	""	""	"1000A002"	"1000A002"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"2"	""	""	"1"	""	""	"7"	""	""	"18"	""	""	"4"	""	""	"13"	""	""	"negative mode"	""	""	"1000A002"	"GSK_neg_block1_13r.cdf"	"1"	""	""	"no exercice and food intake"	""	""	"A"	"0"	"hour"	""	""	"1"	""	""	"10"	""	""
"46"	"LCMS preparation"	"249"	""	""	""	""	""	""	""	""	"1400D046"	"1400D046"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"46"	""	""	"1"	""	""	"61"	""	""	"73"	""	""	"58"	""	""	"68"	""	""	"negative mode"	""	""	"1400D046"	"GSK_neg_block3_43.cdf"	"1"	""	""	"no food intake; no exercise"	""	""	"D"	"0"	"hour"	""	""	"1"	""	""	"14"	""	""
"16"	"LCMS preparation"	"182"	""	""	"2"	""	""	""	"NO SAMPLE"	""	"1500C016"	"1500C016"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"16"	""	""	"1"	""	""	"23"	""	""	"34"	""	""	"20"	""	""	"29"	""	""	"negative mode"	""	""	"1500C016"	"GSK_neg_block1_50r.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"0"	"hour"	""	""	"1"	""	""	"15"	""	""
"55"	"LCMS preparation"	"185"	""	""	""	""	""	""	""	""	"0100A055"	"0100A055"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"55"	""	""	"1"	""	""	"72"	""	""	"84"	""	""	"69"	""	""	"79"	""	""	"negative mode"	""	""	"0100A055"	"GSK_neg_block3_61.cdf"	"1"	""	""	"no exercice and food intake"	""	""	"A"	"0"	"hour"	""	""	"1"	""	""	"1"	""	""
"151"	"LCMS preparation"	"5"	""	""	""	""	""	""	""	""	"0200A151"	"0200A151"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"151"	""	""	"3"	""	""	"199"	""	""	"425"	""	""	"195"	""	""	"19"	""	""	"negative mode"	""	""	"0200A151"	"GSK_neg_block4_49.cdf"	"1"	""	""	"no exercice and food intake"	""	""	"A"	"0"	"hour"	""	""	"1"	""	""	"2"	""	""
"77"	"LCMS preparation"	"8"	""	""	"3"	""	""	""	""	""	"0600B077"	"0600B077"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"77"	""	""	"2"	""	""	"104"	""	""	"223"	""	""	"100"	""	""	"17"	""	""	"negative mode"	""	""	"0600B077"	"GSK_neg_block2_71r.cdf"	"1"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"0"	"hour"	""	""	"1"	""	""	"6"	""	""
"232"	"LCMS preparation"	"42"	""	""	""	""	""	""	""	""	"0700C232"	"0700C232"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"232"	""	""	"4"	""	""	"303"	""	""	"636"	""	""	"299"	""	""	"30"	""	""	"negative mode"	""	""	"0700C232"	"GSK_neg_block2_94r.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"0"	"hour"	""	""	"1"	""	""	"7"	""	""
"217"	"LCMS preparation"	"15"	""	""	""	""	""	""	""	""	"0800C217"	"0800C217"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"217"	""	""	"4"	""	""	"285"	""	""	"618"	""	""	"281"	""	""	"12"	""	""	"negative mode"	""	""	"0800C217"	"GSK_neg_block3_75.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"0"	"hour"	""	""	"1"	""	""	"8"	""	""
"39"	"LCMS preparation"	"243"	""	""	""	""	""	""	""	""	"0900C039"	"0900C039"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"39"	""	""	"1"	""	""	"52"	""	""	"64"	""	""	"49"	""	""	"59"	""	""	"negative mode"	""	""	"0900C039"	"GSK_neg_block2_76r.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"0"	"hour"	""	""	"1"	""	""	"9"	""	""
"169"	"LCMS preparation"	"269"	""	""	""	""	""	""	""	""	"1001A169"	"1001A169"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"169"	""	""	"3"	""	""	"222"	""	""	"449"	""	""	"218"	""	""	"43"	""	""	"negative mode"	""	""	"1001A169"	"GSK_neg_block1_42r.cdf"	"1"	""	""	"no exercice and food intake"	""	""	"A"	"1"	"hour"	""	""	"1"	""	""	"10"	""	""
